artist,track,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52,week53,week54,week55,week56,week57,week58,week59,week60,week61,week62,week63,week64
Blaque,Bring It All To Me,73,63,50,42,24,19,17,14,11,9,9,9,10,5,5,6,8,9,15,15,18,17,18,19,19,22,26,32,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elliott, Missy ""Misdemeanor""",Hot Boyz,36,21,13,9,7,7,5,7,7,7,8,11,7,10,11,12,15,17,23,30,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gray, Macy",I Try,68,51,47,36,30,20,15,12,8,7,7,7,6,5,6,9,10,11,14,16,16,16,21,27,34,40,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N'Sync,This I Promise You,68,31,19,15,11,6,7,7,6,5,6,7,10,12,11,9,11,12,20,22,26,30,30,39,41,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruff Endz,No More,76,38,19,17,12,15,12,10,7,5,8,8,10,12,14,15,19,23,21,18,19,22,23,24,33,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,74,62,55,25,16,14,12,10,12,9,7,6,6,6,8,9,13,19,23,26,32,34,45,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Days,Absolutely (Story Of A Girl),85,71,59,52,39,34,26,20,17,13,11,6,6,8,8,7,8,9,11,12,14,18,26,30,36,41,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dion, Celine",That's The Way It Is,74,68,65,49,44,34,30,30,17,14,11,8,9,10,11,11,6,8,7,7,9,10,14,16,26,31,35,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blink-182,All The Small Things,89,76,69,59,59,51,50,35,26,15,7,6,8,8,9,11,14,16,18,23,33,41,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eiffel 65,Blue (Da Ba Dee),67,29,16,16,13,11,9,6,7,9,13,19,21,24,32,42,56,60,76,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Badu, Erkyah",Bag Lady,67,53,42,41,48,42,34,6,9,9,8,11,15,21,26,29,26,38,56,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink,There U Go,25,15,12,11,11,7,7,12,14,15,15,17,19,16,15,14,12,10,10,10,8,9,12,16,20,22,33,39,39,41,46,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creed,Higher,81,77,73,63,61,58,56,52,56,57,57,57,57,57,60,61,61,57,60,61,,,,,,,,,43,41,34,28,25,23,22,16,16,18,14,13,13,11,11,9,9,7,7,9,9,12,14,16,17,17,21,26,29,32,39,39,43,47,50,50
Nelly,(Hot S**t) Country Grammar,100,99,96,76,55,37,24,24,30,36,37,30,23,21,17,17,15,11,11,10,7,7,8,10,11,12,12,17,19,23,33,37,36,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Next,Wifey,85,61,46,40,36,31,25,22,25,24,21,20,19,19,8,7,10,12,21,25,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny G,Auld Lang Syne (The Millenium Mix),89,89,7,8,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonique,It Feels So Good,67,52,30,23,19,17,16,16,14,12,13,13,11,8,10,10,11,14,17,19,21,31,38,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spears, Britney",Oops!.. I Did It Again,67,38,26,19,15,13,12,9,9,10,14,15,17,24,35,49,77,85,90,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backstreet Boys, The",Shape Of My Heart,39,25,24,15,12,12,10,9,10,12,17,19,29,26,24,31,52,63,62,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everclear,Wonderful,77,69,53,37,33,25,24,23,22,25,28,25,11,13,13,11,18,28,36,39,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja Rule,Between Me And You,85,74,61,37,27,22,22,16,14,11,11,14,17,18,18,21,30,30,42,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rimes, LeAnn",I Need You,77,68,67,63,59,59,59,53,51,50,13,11,11,15,12,12,13,16,19,21,21,24,25,30,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smash Mouth,Then The Morning Comes,83,59,56,46,27,23,19,16,14,14,16,15,12,11,13,17,20,23,24,25,27,31,33,35,41,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,I Just Wanna Love U (Give It 2 Me),58,45,35,26,23,19,14,14,13,11,12,12,12,15,15,19,24,28,29,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Edge,Let's Get Married,77,66,55,45,38,42,33,29,28,26,23,15,11,14,14,17,20,20,21,23,24,29,36,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter,Take A Picture,91,74,64,52,38,38,34,31,21,19,12,13,15,20,19,22,23,24,31,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Ricky",She Bangs,38,28,21,21,18,16,13,13,12,20,22,29,43,54,55,73,92,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystikal,Shake Ya Ass,97,90,65,41,34,25,22,15,15,14,14,13,13,13,17,19,24,30,42,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBMak,Back Here,99,86,60,52,38,34,28,21,18,18,19,15,18,13,16,15,16,16,17,15,18,17,16,22,24,30,36,37,42,45,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spears, Britney",From The Bottom Of My Broken Heart,76,59,52,52,14,14,17,24,33,35,41,45,54,64,64,81,97,92,86,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Eye Blind,Never Let You Go,65,32,25,24,23,22,22,21,19,16,14,16,16,17,18,21,22,25,27,33,45,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hot Chili Peppers,Otherside,80,72,65,52,51,49,40,37,32,29,29,29,29,24,18,14,15,16,19,22,29,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profyle,Liar,52,32,25,17,16,16,14,19,24,33,35,43,54,61,69,75,86,81,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barenaked Ladies,Pinch Me,77,76,69,45,51,37,33,29,26,25,16,15,15,19,19,20,22,20,21,34,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Edge,He Can't Love U,54,32,17,17,15,18,18,18,18,25,24,24,26,33,44,51,53,65,69,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504 Boyz,Wobble Wobble,57,34,25,17,17,31,36,49,53,57,64,70,75,76,78,85,92,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sting,Desert Rose,98,88,72,59,55,52,45,35,24,21,19,19,19,19,18,17,19,19,24,26,30,32,42,45,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Big Pimpin',69,52,39,33,28,25,25,23,20,19,21,18,20,20,26,29,35,33,41,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kid Rock,Only God Knows Why,63,47,46,39,35,26,26,23,19,19,21,25,25,29,32,44,52,62,69,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foo Fighters,Learn To Fly,80,69,68,63,60,52,42,32,30,25,22,22,26,20,19,20,26,30,35,42,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Goodbye Earl,40,29,24,24,20,20,20,19,38,61,86,88,96,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guy,Dancin',46,29,19,22,36,44,58,58,68,75,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil Bow Wow,Bounce With Me,48,35,24,24,20,20,20,20,22,27,27,36,40,53,61,69,80,90,99,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westlife,Swear It Again,96,82,66,55,55,46,44,44,37,35,32,25,21,20,20,25,30,33,45,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train,Meet Virginia,76,67,59,54,48,45,40,32,26,24,22,21,21,24,21,20,21,24,28,30,32,37,37,42,46,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Carl",I Wish,75,64,48,39,32,28,24,20,22,21,22,26,23,24,27,28,42,44,52,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanson,This Time Around,22,22,20,45,87,71,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Jessica",I Think I'm In Love With You,63,52,44,29,25,23,21,21,21,27,38,38,57,74,89,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludacris,What's Your Fantasy,89,83,63,55,49,40,33,32,30,25,22,21,24,24,24,27,25,34,32,35,41,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil' Zane,Callin' Me,83,89,57,40,34,21,33,46,45,59,67,84,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2M,Don't Say You Love Me,72,53,62,46,54,44,44,21,64,92,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoulDecision,Faded,94,90,81,64,56,43,35,27,25,22,22,27,27,27,31,31,30,34,31,34,34,38,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock, Chad",Yes!,90,77,66,61,59,47,39,33,32,31,28,27,22,27,31,39,45,50,53,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Ricky",Shake Your Bon-Bon,74,66,52,39,39,39,39,46,47,54,91,28,22,33,46,70,87,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Horizon,You're A God,64,55,43,41,37,31,30,29,28,26,23,23,25,32,32,37,37,41,46,48,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant,Separated,62,32,30,23,26,30,35,32,32,25,23,28,27,29,27,31,31,33,40,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rimes, LeAnn",Big Deal,71,52,51,51,51,48,41,37,29,26,26,23,30,28,27,25,31,43,56,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMx,Stay The Night,84,61,45,43,40,38,36,31,34,34,40,36,36,23,41,62,70,71,79,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Dre,The Next Episode,78,67,58,53,46,41,32,27,26,23,26,27,32,32,44,46,47,50,52,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spears, Britney",Lucky,61,41,28,26,23,29,30,40,66,86,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savage Garden,Crash And Burn,75,58,51,36,33,31,26,24,24,29,34,39,46,47,48,49,58,63,73,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kandi,Don't Think I'm Not,66,66,66,61,49,42,36,33,28,24,26,26,28,29,27,31,31,26,25,25,30,40,36,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sammie,I Like It,85,68,58,44,40,33,30,29,37,29,29,24,36,46,52,61,83,93,91,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goo Goo Dolls,Broadway,74,58,53,42,35,31,29,25,29,26,24,33,46,48,57,62,74,82,85,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moore, Mandy",I Wanna Be With You,69,63,54,50,45,42,31,28,24,34,42,53,65,66,77,94,99,,,,,93,91,91,90,89,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Dre,Forgot About Dre,75,55,47,36,36,30,30,31,26,25,25,26,26,28,34,47,58,68,80,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Angelo,Untitled (How Does It Feel),77,56,35,26,25,25,28,28,31,35,39,44,51,60,73,79,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Messina, Jo Dee",That's The Way,78,67,63,54,50,44,38,30,27,25,31,28,30,28,32,35,48,46,51,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avant,My First Love,70,62,56,43,39,33,26,26,26,31,32,31,38,38,52,57,64,73,81,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son By Four,A Puro Dolor (Purest Of Pain),80,80,80,79,72,73,65,64,60,60,48,48,48,43,35,32,30,32,37,26,31,28,30,32,39,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Brat,What'Chu Like,71,65,54,54,51,41,41,33,28,31,26,28,36,39,49,58,62,65,68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMX,Party Up (Up In Here),88,74,62,56,49,44,38,32,27,27,27,27,27,28,28,33,35,42,44,46,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Cowboy Take Me Away,79,72,70,61,52,52,52,39,31,27,27,27,31,37,40,47,51,56,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGraw, Tim",My Next Thirty Years,73,62,56,52,46,40,36,31,27,27,28,40,33,33,39,40,48,53,58,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tritt, Travis",Best Of Intentions,97,86,79,70,63,56,50,48,51,38,33,31,28,28,28,27,29,31,37,45,49,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Deejay,Better Off Alone,79,65,53,48,45,36,34,29,27,30,36,37,39,49,57,63,65,68,79,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoku,Another Dumb Blonde,69,49,49,34,34,34,30,27,36,41,53,56,80,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney",I Learned From The Best,83,83,83,40,28,27,28,36,53,73,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counting Crows,Hanginaround,84,70,66,60,46,37,35,35,35,32,29,29,28,32,38,48,56,59,61,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Mary,Shackles (Praise You),90,76,72,54,43,37,34,28,33,30,31,39,43,53,60,70,71,76,84,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carey, Mariah",Crybaby,28,34,48,62,77,90,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGraw, Tim",My Best Friend,85,76,71,64,54,54,55,46,38,29,29,33,32,31,36,38,39,41,46,49,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar Ray,Falls Apart,70,64,54,40,34,29,29,32,32,37,47,49,52,60,76,80,89,97,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madonna,American Pie,43,35,29,29,33,32,40,58,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jones, Donell",Where I Wanna Be,81,71,65,50,41,41,36,41,38,35,33,29,36,34,34,40,42,49,55,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paisley, Brad",We Danced,71,68,52,52,45,42,39,34,34,29,36,42,55,53,57,64,72,84,83,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonestar,What About Now,78,72,66,64,56,50,47,39,37,34,30,30,35,36,37,43,54,60,61,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backstreet Boys, The",The One,58,50,43,37,31,30,39,47,55,61,76,90,93,93,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keith, Toby",How Do You Like Me Now?!,77,72,59,53,45,43,41,36,36,32,31,31,35,35,38,43,45,51,52,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strait, George",The Best Day,73,64,54,45,44,44,44,41,39,34,33,33,31,33,36,39,43,49,53,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Without You,80,70,63,56,50,49,48,46,41,40,35,31,33,44,36,35,37,43,51,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musiq,Just Friends (Sunny),89,83,65,55,54,54,52,44,41,34,32,31,35,34,41,41,48,54,58,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McEntire, Reba",What Do You Say,88,76,71,71,69,63,56,51,46,46,53,43,33,31,34,41,50,60,68,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Braxton, Toni",Just Be A Man About It,76,69,51,42,37,32,32,34,34,38,50,53,53,63,65,72,79,84,89,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iglesias, Enrique",Rhythm Divine,90,84,79,67,67,39,33,32,38,38,49,51,61,61,66,88,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fabian, Lara",I Will Love Again,91,80,75,61,60,52,45,40,36,32,37,45,68,80,80,89,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon Jovi,It's My Life,64,58,51,51,48,45,36,33,34,34,35,34,39,44,51,58,61,84,85,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evans, Sara",Born To Fly,77,71,64,57,55,51,46,44,36,39,34,46,44,36,42,53,58,74,81,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
