age,marital,balance,housing,loan,duration,campaign,previous,poutcome,deposit
59,married,-22,yes,no,748,3,0,unknown,yes
24,married,685,yes,no,896,3,0,unknown,yes
26,single,901,yes,no,764,2,0,unknown,yes
59,single,351,yes,no,1063,5,0,unknown,yes
30,single,0,yes,yes,1051,1,0,unknown,yes
37,married,274,yes,no,731,3,0,unknown,yes
30,single,-213,yes,yes,751,1,0,unknown,yes
25,married,97,yes,no,709,1,0,unknown,yes
44,divorced,51,yes,yes,3094,2,0,unknown,yes
29,married,314,no,no,938,2,0,unknown,yes
26,single,6840,yes,no,1560,2,0,unknown,yes
26,single,668,yes,no,576,3,0,unknown,yes
27,single,54,yes,no,543,2,0,unknown,yes
25,single,1242,yes,no,615,2,0,unknown,yes
28,married,292,yes,no,507,1,0,unknown,yes
23,single,665,yes,no,1183,1,0,unknown,yes
34,single,1058,yes,no,864,2,0,unknown,yes
28,single,949,yes,no,1730,1,0,unknown,yes
51,married,606,yes,no,560,9,0,unknown,yes
35,married,0,yes,yes,543,1,0,unknown,yes
35,married,404,yes,no,539,1,0,unknown,yes
56,married,249,yes,no,791,2,0,unknown,yes
45,divorced,3354,yes,no,746,1,0,unknown,yes
60,divorced,0,yes,no,1207,1,0,unknown,yes
56,married,589,yes,no,535,2,0,unknown,yes
27,single,12956,yes,no,789,3,0,unknown,yes
30,married,873,yes,no,792,3,0,unknown,yes
45,divorced,594,yes,no,833,2,0,unknown,yes
29,single,-20,yes,no,814,2,0,unknown,yes
38,divorced,4692,yes,no,1363,2,0,unknown,yes
30,married,486,yes,no,1109,3,0,unknown,yes
44,single,1593,yes,no,828,3,0,unknown,yes
36,single,7606,yes,no,917,1,0,unknown,yes
38,married,226,yes,no,762,3,0,unknown,yes
36,single,366,yes,yes,1133,2,0,unknown,yes
37,divorced,16,yes,no,638,1,0,unknown,yes
35,single,565,yes,no,763,1,0,unknown,yes
38,divorced,19,yes,no,604,2,0,unknown,yes
40,married,1082,yes,no,854,2,0,unknown,yes
42,divorced,1713,yes,no,855,2,0,unknown,yes
46,divorced,14481,yes,no,1269,1,0,unknown,yes
35,divorced,5724,yes,no,691,10,0,unknown,yes
34,divorced,1451,yes,no,1097,15,0,unknown,yes
32,married,-34,yes,no,1236,2,0,unknown,yes
50,married,3674,yes,no,886,3,0,unknown,yes
35,married,698,yes,yes,1343,3,0,unknown,yes
36,single,4136,yes,no,812,3,0,unknown,yes
53,divorced,2656,yes,no,1980,2,0,unknown,yes
46,single,2904,yes,no,984,2,0,unknown,yes
26,single,1004,yes,no,228,2,0,unknown,yes
45,single,410,yes,no,891,4,0,unknown,yes
31,divorced,0,yes,no,745,12,0,unknown,yes
29,single,0,yes,no,539,12,0,unknown,yes
53,single,62,yes,no,1044,5,0,unknown,yes
27,married,416,yes,no,1193,2,0,unknown,yes
39,married,2763,yes,no,526,2,0,unknown,yes
36,married,2984,yes,no,394,1,0,unknown,yes
41,married,143,yes,yes,659,2,0,unknown,yes
36,married,0,yes,no,1036,1,0,unknown,yes
32,married,696,yes,no,815,1,0,unknown,yes
35,married,152,yes,no,563,1,0,unknown,yes
36,single,-78,yes,no,1068,1,0,unknown,yes
35,married,867,yes,no,230,3,0,unknown,yes
30,single,953,yes,no,747,2,0,unknown,yes
42,married,443,yes,no,671,5,0,unknown,yes
42,single,-1129,yes,no,555,5,0,unknown,yes
32,married,415,yes,no,777,4,0,unknown,yes
29,single,260,yes,no,707,14,0,unknown,yes
44,divorced,-411,yes,no,432,4,0,unknown,yes
32,single,1279,yes,no,1173,3,0,unknown,yes
31,married,86,yes,yes,963,2,0,unknown,yes
40,married,-754,yes,yes,941,3,0,unknown,yes
43,married,0,no,no,1025,7,0,unknown,yes
27,single,178,yes,no,732,2,0,unknown,yes
37,single,278,yes,no,1045,3,0,unknown,yes
23,single,425,yes,no,768,1,0,unknown,yes
25,married,168,yes,no,801,1,0,unknown,yes
26,single,-36,yes,no,482,2,0,unknown,yes
47,divorced,126,yes,no,2456,2,0,unknown,yes
35,married,-87,yes,no,1363,7,0,unknown,yes
32,single,6281,yes,no,1336,4,0,unknown,yes
45,divorced,644,yes,no,633,1,0,unknown,yes
30,divorced,377,yes,no,524,15,0,unknown,yes
29,single,-271,yes,no,578,1,0,unknown,yes
38,married,5839,yes,no,984,2,0,unknown,yes
23,single,492,yes,no,638,1,0,unknown,yes
27,single,99,yes,no,767,2,0,unknown,yes
27,single,-713,yes,no,525,2,0,unknown,yes
29,single,32,yes,no,563,1,0,unknown,yes
30,married,543,yes,yes,1449,6,0,unknown,yes
36,married,403,yes,no,920,1,0,unknown,yes
35,divorced,437,yes,no,908,1,0,unknown,yes
36,married,1772,no,no,208,1,0,unknown,yes
59,divorced,-88,yes,no,910,2,0,unknown,yes
47,married,0,no,no,1446,1,0,unknown,yes
58,married,853,no,no,1149,2,0,unknown,yes
37,single,240,no,no,1123,1,0,unknown,yes
46,single,849,yes,no,508,2,0,unknown,yes
43,single,318,yes,no,736,2,0,unknown,yes
27,single,703,yes,no,590,3,0,unknown,yes
38,divorced,61,no,no,636,1,0,unknown,yes
53,married,104,no,yes,701,1,0,unknown,yes
47,married,1996,no,no,761,2,0,unknown,yes
56,divorced,1238,no,no,1558,1,0,unknown,yes
41,married,879,no,no,1053,2,0,unknown,yes
29,married,425,yes,no,562,15,0,unknown,yes
50,married,416,yes,no,494,5,0,unknown,yes
45,divorced,844,no,no,1018,3,0,unknown,yes
35,married,860,yes,no,884,4,0,unknown,yes
26,single,639,yes,no,709,5,0,unknown,yes
26,married,710,yes,yes,1276,2,0,unknown,yes
37,married,1508,no,yes,381,2,0,unknown,yes
30,single,223,yes,no,862,11,0,unknown,yes
38,single,619,yes,no,460,4,0,unknown,yes
37,divorced,319,yes,no,467,3,0,unknown,yes
53,married,480,no,no,648,2,0,unknown,yes
29,single,213,yes,no,2653,3,0,unknown,yes
35,single,68,no,no,1085,1,0,unknown,yes
28,married,2788,yes,no,369,2,0,unknown,yes
55,married,7561,no,no,685,3,0,unknown,yes
49,divorced,-46,yes,no,1055,10,0,unknown,yes
50,married,1595,no,no,882,1,0,unknown,yes
43,single,1046,no,no,901,1,0,unknown,yes
58,divorced,1382,no,no,700,1,0,unknown,yes
38,married,217,yes,no,491,6,0,unknown,yes
48,divorced,183,no,no,940,1,0,unknown,yes
59,married,1321,no,no,3881,3,0,unknown,yes
58,married,25,no,no,486,3,0,unknown,yes
36,single,4844,no,no,1137,3,0,unknown,yes
42,married,5345,no,no,878,3,0,unknown,yes
41,single,812,no,yes,583,4,0,unknown,yes
42,married,105,no,no,1159,4,0,unknown,yes
39,married,-190,no,yes,893,8,0,unknown,yes
57,married,625,no,yes,867,1,0,unknown,yes
52,married,293,no,no,706,1,0,unknown,yes
59,married,1033,no,no,1199,1,0,unknown,yes
56,married,1210,no,no,935,1,0,unknown,yes
49,married,64,no,no,586,1,0,unknown,yes
35,divorced,164,no,no,967,2,0,unknown,yes
36,married,1766,no,no,595,2,0,unknown,yes
40,single,1248,no,no,1290,2,0,unknown,yes
55,married,0,no,no,614,2,0,unknown,yes
58,married,826,no,no,885,1,0,unknown,yes
39,married,2630,no,no,651,5,0,unknown,yes
47,single,3727,no,no,993,6,0,unknown,yes
40,married,406,yes,no,577,2,0,unknown,yes
35,married,2999,no,no,1141,6,0,unknown,yes
48,married,1000,yes,no,1268,2,0,unknown,yes
48,divorced,503,no,yes,1243,7,0,unknown,yes
24,single,-203,yes,no,465,3,0,unknown,yes
49,married,361,yes,no,513,2,0,unknown,yes
36,married,274,yes,no,686,11,0,unknown,yes
52,divorced,3687,yes,yes,741,4,0,unknown,yes
42,single,323,no,no,617,1,0,unknown,yes
36,married,981,no,no,1093,1,0,unknown,yes
36,divorced,638,yes,no,1395,2,0,unknown,yes
48,single,3229,no,no,1089,1,0,unknown,yes
51,single,1610,yes,no,1248,3,0,unknown,yes
51,married,33,no,yes,721,3,0,unknown,yes
46,married,536,yes,no,750,2,0,unknown,yes
37,married,0,no,no,637,6,0,unknown,yes
36,married,3057,no,no,2769,4,0,unknown,yes
47,married,2892,no,no,556,1,0,unknown,yes
40,divorced,0,no,no,522,1,0,unknown,yes
38,single,3316,no,no,1345,3,0,unknown,yes
40,married,106,no,no,676,2,0,unknown,yes
39,married,2303,yes,no,775,3,0,unknown,yes
60,married,3301,no,no,2621,3,0,unknown,yes
39,single,426,no,no,1029,1,0,unknown,yes
51,divorced,9,no,no,371,2,0,unknown,yes
27,married,-97,yes,no,1528,2,0,unknown,yes
41,single,11008,no,no,1540,1,0,unknown,yes
42,single,4930,no,no,973,1,0,unknown,yes
41,married,707,no,no,707,1,0,unknown,yes
33,married,4,yes,yes,625,2,0,unknown,yes
46,married,126,no,no,1255,1,0,unknown,yes
31,married,671,yes,no,704,4,0,unknown,yes
41,married,219,no,yes,1574,3,0,unknown,yes
41,divorced,3622,no,no,1135,4,0,unknown,yes
55,divorced,1580,no,yes,1007,1,0,unknown,yes
53,married,1319,no,no,1318,3,0,unknown,yes
55,married,2152,no,no,922,2,0,unknown,yes
39,married,2843,yes,no,585,1,0,unknown,yes
40,married,0,no,no,952,4,0,unknown,yes
59,married,1115,no,no,834,1,0,unknown,yes
42,single,625,no,no,651,3,0,unknown,yes
41,married,246,no,no,683,3,0,unknown,yes
27,married,61,yes,no,1012,1,0,unknown,yes
25,single,-191,yes,no,958,7,0,unknown,yes
43,married,519,no,no,973,2,0,unknown,yes
44,married,522,no,yes,911,1,0,unknown,yes
26,single,-46,yes,no,382,7,0,unknown,yes
52,married,2269,no,no,1210,1,0,unknown,yes
54,married,386,no,yes,838,1,0,unknown,yes
56,married,0,no,yes,422,1,0,unknown,yes
57,married,9103,no,yes,1098,2,0,unknown,yes
29,single,908,yes,no,1663,1,0,unknown,yes
47,married,1694,no,yes,560,3,0,unknown,yes
57,married,-92,yes,yes,1617,1,0,unknown,yes
40,married,188,yes,yes,570,2,0,unknown,yes
46,divorced,0,no,no,1023,3,0,unknown,yes
43,single,740,yes,no,585,2,0,unknown,yes
45,married,655,no,no,693,3,0,unknown,yes
24,married,867,yes,no,546,10,0,unknown,yes
40,married,1009,yes,yes,1036,5,0,unknown,yes
38,divorced,6360,no,no,1409,2,0,unknown,yes
36,married,4145,no,no,988,4,0,unknown,yes
27,single,-27,no,no,498,2,0,unknown,yes
26,single,-122,yes,no,670,3,0,unknown,yes
43,married,149,yes,no,662,2,0,unknown,yes
25,single,52,yes,no,528,2,0,unknown,yes
27,married,335,yes,no,519,3,0,unknown,yes
30,married,526,yes,yes,677,3,0,unknown,yes
28,single,-7,no,yes,3183,2,0,unknown,yes
27,married,-413,no,yes,422,6,0,unknown,yes
32,divorced,-241,no,yes,856,2,0,unknown,yes
41,single,75,yes,no,479,9,0,unknown,yes
37,single,0,no,no,1135,2,0,unknown,yes
27,single,158,no,no,650,2,0,unknown,yes
29,single,84,no,yes,587,3,0,unknown,yes
33,married,114,no,yes,676,1,0,unknown,yes
36,married,0,no,no,584,1,0,unknown,yes
28,single,-127,yes,no,1044,3,0,unknown,yes
55,married,49,yes,no,494,4,0,unknown,yes
51,married,216,no,no,615,2,0,unknown,yes
39,single,506,yes,no,718,2,0,unknown,yes
42,divorced,213,yes,no,434,3,0,unknown,yes
33,single,170,no,no,782,1,0,unknown,yes
36,divorced,776,no,yes,722,3,0,unknown,yes
45,married,879,no,no,621,2,0,unknown,yes
37,married,1633,no,no,629,2,0,unknown,yes
46,married,926,no,no,385,5,0,unknown,yes
32,single,2559,no,no,889,1,0,unknown,yes
28,single,909,no,yes,532,1,0,unknown,yes
45,divorced,-176,no,yes,574,1,0,unknown,yes
41,single,1085,yes,yes,599,1,0,unknown,yes
59,divorced,1265,no,yes,849,1,0,unknown,yes
47,single,-239,yes,yes,973,3,0,unknown,yes
31,single,726,no,no,719,2,0,unknown,yes
31,single,296,no,yes,509,4,0,unknown,yes
33,married,-627,yes,yes,740,1,0,unknown,yes
52,married,-468,no,no,534,1,0,unknown,yes
26,single,551,no,no,531,1,0,unknown,yes
25,single,0,no,yes,634,1,0,unknown,yes
25,married,101,no,yes,460,3,0,unknown,yes
28,single,517,no,yes,681,1,0,unknown,yes
33,divorced,37,no,yes,1082,1,0,unknown,yes
45,divorced,854,no,yes,730,1,0,unknown,yes
36,married,30,no,yes,716,5,0,unknown,yes
26,single,81,no,yes,803,2,0,unknown,yes
38,married,0,no,no,635,1,0,unknown,yes
56,single,663,no,yes,819,3,0,unknown,yes
26,single,102,no,yes,658,2,0,unknown,yes
26,married,370,no,yes,1061,4,0,unknown,yes
25,single,189,no,yes,687,2,0,unknown,yes
26,single,111,no,no,537,1,0,unknown,yes
40,married,665,yes,no,781,1,0,unknown,yes
37,married,214,yes,no,645,1,0,unknown,yes
43,single,0,no,no,1242,1,0,unknown,yes
41,divorced,1583,yes,no,662,1,0,unknown,yes
49,married,0,no,yes,625,1,0,unknown,yes
29,divorced,0,no,yes,426,3,0,unknown,yes
39,divorced,687,yes,no,869,1,0,unknown,yes
38,married,327,yes,yes,556,5,0,unknown,yes
26,married,-119,no,yes,359,5,0,unknown,yes
32,married,794,yes,yes,1014,1,0,unknown,yes
33,married,-191,yes,yes,1290,4,0,unknown,yes
31,single,409,no,yes,564,5,0,unknown,yes
49,married,3,no,yes,1439,6,0,unknown,yes
27,single,9,no,yes,919,2,0,unknown,yes
30,single,155,yes,yes,1426,3,0,unknown,yes
35,married,1330,no,no,901,1,0,unknown,yes
26,single,-29,yes,no,998,4,0,unknown,yes
45,married,3133,yes,yes,804,1,0,unknown,yes
34,married,-33,yes,yes,961,1,0,unknown,yes
28,single,-170,no,yes,720,2,0,unknown,yes
25,single,1243,no,yes,1341,7,0,unknown,yes
30,single,1598,yes,no,634,1,0,unknown,yes
30,married,5,no,yes,829,5,0,unknown,yes
47,married,367,yes,no,476,4,0,unknown,yes
57,divorced,658,no,no,724,1,0,unknown,yes
38,married,1722,yes,no,500,1,0,unknown,yes
54,married,-315,no,yes,2029,1,0,unknown,yes
25,single,2483,no,no,1499,3,0,unknown,yes
30,married,0,yes,yes,1399,1,0,unknown,yes
26,single,45,no,no,1187,3,0,unknown,yes
31,married,46,yes,no,487,1,0,unknown,yes
29,single,482,no,yes,1097,3,0,unknown,yes
49,married,3728,yes,no,1060,2,0,unknown,yes
60,divorced,1099,no,no,764,2,0,unknown,yes
60,married,2222,yes,no,1120,2,0,unknown,yes
29,single,983,yes,no,963,2,0,unknown,yes
55,divorced,204,yes,no,1973,2,0,unknown,yes
44,married,1074,yes,no,911,2,0,unknown,yes
47,married,3466,yes,no,853,2,0,unknown,yes
35,married,-203,yes,no,1649,2,0,unknown,yes
35,married,2436,no,yes,1397,3,0,unknown,yes
38,married,976,yes,no,766,3,0,unknown,yes
34,married,146,yes,no,788,2,0,unknown,yes
50,married,156,no,yes,1130,3,0,unknown,yes
43,married,189,yes,no,1062,4,0,unknown,yes
44,divorced,163,yes,no,1669,2,0,unknown,yes
51,divorced,242,no,yes,1336,4,0,unknown,yes
31,married,1173,yes,no,444,3,0,unknown,yes
39,married,0,yes,no,894,7,0,unknown,yes
59,married,296,no,yes,805,3,0,unknown,yes
25,single,333,no,yes,1056,2,0,unknown,yes
58,married,3864,yes,no,815,4,0,unknown,yes
30,married,2686,yes,no,808,3,0,unknown,yes
34,single,-109,yes,no,860,4,0,unknown,yes
51,divorced,65,no,yes,881,1,0,unknown,yes
60,married,597,no,no,981,1,0,unknown,yes
51,married,-799,no,yes,1001,3,0,unknown,yes
37,divorced,1775,no,no,514,5,0,unknown,yes
30,single,0,no,no,716,3,0,unknown,yes
46,divorced,-563,no,yes,769,4,0,unknown,yes
29,single,5,no,no,889,5,0,unknown,yes
27,married,139,no,no,448,5,0,unknown,yes
28,single,0,yes,no,767,5,0,unknown,yes
34,single,855,yes,no,578,1,0,unknown,yes
29,single,694,yes,yes,1806,4,0,unknown,yes
27,single,151,yes,no,496,1,0,unknown,yes
26,single,354,no,no,586,1,0,unknown,yes
36,married,673,yes,no,689,1,0,unknown,yes
44,married,1265,yes,no,555,1,0,unknown,yes
39,married,597,no,no,686,6,0,unknown,yes
30,married,-393,yes,yes,435,1,0,unknown,yes
31,divorced,256,yes,no,873,2,0,unknown,yes
56,married,0,yes,no,1222,1,0,unknown,yes
29,married,2870,yes,no,988,1,0,unknown,yes
43,married,184,no,yes,1019,11,0,unknown,yes
32,married,1905,yes,no,709,2,0,unknown,yes
30,single,-36,no,no,561,9,0,unknown,yes
40,married,-839,yes,yes,1018,2,0,unknown,yes
42,married,3465,yes,yes,1039,2,0,unknown,yes
27,married,119,yes,no,781,2,0,unknown,yes
35,married,36,no,yes,1656,5,0,unknown,yes
35,married,113,yes,no,923,2,0,unknown,yes
32,single,118,yes,no,1275,1,0,unknown,yes
39,married,251,yes,no,342,2,0,unknown,yes
31,divorced,-277,yes,no,1008,2,0,unknown,yes
26,single,-189,no,yes,538,2,0,unknown,yes
42,married,4,yes,no,795,1,0,unknown,yes
27,single,1820,yes,no,1027,1,0,unknown,yes
33,divorced,1904,yes,no,1584,2,0,unknown,yes
51,married,201,yes,no,582,2,0,unknown,yes
33,married,0,yes,no,1448,7,0,unknown,yes
30,single,178,no,no,656,3,0,unknown,yes
52,married,3798,yes,no,1208,1,0,unknown,yes
42,divorced,301,yes,no,1175,2,0,unknown,yes
31,divorced,294,yes,no,536,5,0,unknown,yes
27,married,0,yes,no,991,5,0,unknown,yes
44,single,292,no,yes,1153,4,0,unknown,yes
40,divorced,2998,yes,no,623,3,0,unknown,yes
46,divorced,2084,yes,no,1081,2,0,unknown,yes
32,divorced,454,yes,no,978,1,0,unknown,yes
56,divorced,179,no,no,536,1,0,unknown,yes
33,married,661,yes,no,968,1,0,unknown,yes
33,married,89,yes,no,278,2,0,unknown,yes
32,married,102,yes,no,560,1,0,unknown,yes
41,divorced,138,yes,no,640,3,0,unknown,yes
31,single,622,no,no,420,1,0,unknown,yes
30,divorced,10,yes,no,658,2,0,unknown,yes
34,divorced,-251,no,no,641,1,0,unknown,yes
43,married,104,yes,no,635,3,0,unknown,yes
28,married,173,no,no,588,7,0,unknown,yes
32,divorced,-46,no,yes,1373,4,0,unknown,yes
31,divorced,0,yes,yes,913,4,0,unknown,yes
35,single,145,yes,no,799,2,0,unknown,yes
31,married,325,yes,no,1139,2,0,unknown,yes
25,single,2311,no,yes,1105,2,0,unknown,yes
56,divorced,158,no,yes,854,1,0,unknown,yes
47,married,1981,yes,no,919,2,0,unknown,yes
39,married,1423,yes,no,733,3,0,unknown,yes
51,married,2455,yes,no,553,1,0,unknown,yes
54,divorced,859,no,yes,710,1,0,unknown,yes
58,married,9004,no,no,891,4,0,unknown,yes
42,married,970,yes,no,691,10,0,unknown,yes
56,married,486,no,yes,1877,1,0,unknown,yes
55,married,127,yes,no,1130,8,0,unknown,yes
26,single,409,yes,no,577,2,0,unknown,yes
40,single,664,no,no,1342,2,0,unknown,yes
26,single,223,no,yes,1002,3,0,unknown,yes
35,single,-324,no,yes,985,11,0,unknown,yes
34,single,-30,no,no,1360,3,0,unknown,yes
41,single,1253,no,no,1134,5,0,unknown,yes
44,married,4758,yes,no,712,6,0,unknown,yes
33,single,30,yes,no,1077,1,0,unknown,yes
36,divorced,81,no,yes,560,1,0,unknown,yes
38,married,0,yes,no,1545,1,0,unknown,yes
35,married,328,yes,no,654,2,0,unknown,yes
41,single,145,no,no,1833,2,0,unknown,yes
41,divorced,465,yes,no,1508,1,0,unknown,yes
28,married,751,yes,no,598,5,0,unknown,yes
26,married,-379,yes,yes,1237,7,0,unknown,yes
39,single,0,no,no,864,4,0,unknown,yes
25,married,349,yes,no,1037,8,0,unknown,yes
37,married,1110,yes,no,802,11,0,unknown,yes
25,married,2228,yes,no,754,1,0,unknown,yes
46,divorced,2166,yes,no,870,1,0,unknown,yes
25,single,-247,yes,no,633,1,0,unknown,yes
28,single,-123,no,yes,690,1,0,unknown,yes
33,divorced,44,no,yes,529,1,0,unknown,yes
32,single,131,yes,yes,1152,2,0,unknown,yes
32,married,476,yes,no,956,9,0,unknown,yes
47,single,1101,yes,no,957,3,0,unknown,yes
50,married,-168,yes,no,1327,2,0,unknown,yes
27,married,-392,yes,no,228,2,0,unknown,yes
45,married,524,yes,no,808,1,0,unknown,yes
51,single,895,no,no,638,2,0,unknown,yes
36,married,212,yes,yes,1201,6,0,unknown,yes
51,married,95,yes,no,1309,4,0,unknown,yes
